mesh_idx,mesh_id,model_key,model_name,modality,mean_iou,mean_dice,iou_view_0,iou_view_1,iou_view_2,iou_view_3,iou_view_4,iou_view_5,iou_view_6,iou_view_7,iou_view_8,iou_view_9,iou_view_10,iou_view_11,dice_view_0,dice_view_1,dice_view_2,dice_view_3,dice_view_4,dice_view_5,dice_view_6,dice_view_7,dice_view_8,dice_view_9,dice_view_10,dice_view_11
168,d4f7c4b5f9bd4284899477cb1f5bb48f,dual_orig_mem,Dual (Normal+Point) + Orig mem,dual,0.5314486771821976,0.5972703869144121,0.7960237860679626,0.5314836502075195,0.632768988609314,0.5194881558418274,0.45190000534057617,0.5836872458457947,0.6093049049377441,0.48076972365379333,0.4354003071784973,0.4385374188423157,0.4185914993286133,0.4794284403324127,0.7980063557624817,0.6293748021125793,0.6986224055290222,0.624856173992157,0.5122420191764832,0.6656607389450073,0.6887864470481873,0.5333239436149597,0.4971495568752289,0.4978726804256439,0.4913252890110016,0.5300242304801941
168,d4f7c4b5f9bd4284899477cb1f5bb48f,dual_ang_mem,Dual (Normal+Point) + Geo-aware mem,dual,0.530309684574604,0.5963680570324262,0.7960237860679626,0.5314836502075195,0.632768988609314,0.5194881558418274,0.4526161849498749,0.5828124284744263,0.6134039163589478,0.4837438762187958,0.43462109565734863,0.43737050890922546,0.4093644618988037,0.4700191617012024,0.7980063557624817,0.6293748021125793,0.6986224055290222,0.624856173992157,0.5127427577972412,0.6656681895256042,0.6915051341056824,0.535056471824646,0.4966227114200592,0.4970960319042206,0.48416051268577576,0.5227051377296448
87,6499bf2bcc024d419bd23f4d2eb332ce,orig_normal,Orig mem + Normal,normal,0.3741627981265386,0.41555499533812207,0.853480339050293,0.31612610816955566,0.37345078587532043,0.29872024059295654,0.2635122537612915,0.3647706210613251,0.5543853044509888,0.2412874847650528,0.3674877882003784,0.24678218364715576,0.20986489951610565,0.40008556842803955,0.8640391826629639,0.35574236512184143,0.42561331391334534,0.34087878465652466,0.3250552713871002,0.39544814825057983,0.5943906307220459,0.278768390417099,0.4128902554512024,0.2781536281108856,0.25694742798805237,0.458732545375824
87,6499bf2bcc024d419bd23f4d2eb332ce,orig_point,Orig mem + Point,point,0.38207750022411346,0.42746076981226605,0.853480339050293,0.3322570323944092,0.25630104541778564,0.2667528986930847,0.45071738958358765,0.32622388005256653,0.3910672068595886,0.3711289167404175,0.40991121530532837,0.37485530972480774,0.2867361307144165,0.26549863815307617,0.8640391826629639,0.39453744888305664,0.2955111265182495,0.30669718980789185,0.4905323386192322,0.3748561143875122,0.45721253752708435,0.4152999818325043,0.4585278034210205,0.4227856695652008,0.340738445520401,0.3087913990020752
87,6499bf2bcc024d419bd23f4d2eb332ce,orig_matte,Orig mem + Matte,matte,0.37468962619702023,0.4187931741277377,0.853480339050293,0.3353652358055115,0.32886314392089844,0.3141476809978485,0.23812131583690643,0.25015881657600403,0.547434389591217,0.3894727826118469,0.38442090153694153,0.2712032198905945,0.22878797352313995,0.35481971502304077,0.8640391826629639,0.36918163299560547,0.3658548593521118,0.3542633652687073,0.3000066578388214,0.3157614469528198,0.5835094451904297,0.42785340547561646,0.4275684952735901,0.31159859895706177,0.28165361285209656,0.42422738671302795
87,6499bf2bcc024d419bd23f4d2eb332ce,angular_normal,Geo-aware mem + Normal,normal,0.4148089451094468,0.4562663212418556,0.853480339050293,0.31638216972351074,0.37557297945022583,0.18652330338954926,0.2561793029308319,0.358491986989975,0.5559031963348389,0.5529145002365112,0.41165661811828613,0.28671467304229736,0.4195939898490906,0.40429428219795227,0.8640391826629639,0.3558230400085449,0.42694389820098877,0.22308817505836487,0.3100774586200714,0.38408413529396057,0.5949141383171082,0.6117854118347168,0.4488036632537842,0.32489094138145447,0.47046706080436707,0.4602787494659424
87,6499bf2bcc024d419bd23f4d2eb332ce,angular_point,Geo-aware mem + Point,point,0.38042180985212326,0.4259047855933507,0.853480339050293,0.31235453486442566,0.2557283043861389,0.2671661078929901,0.4538450241088867,0.3256230354309082,0.38912397623062134,0.36802437901496887,0.4107741117477417,0.37584978342056274,0.28605931997299194,0.26703280210494995,0.8640391826629639,0.380537211894989,0.29494529962539673,0.3071076273918152,0.49254924058914185,0.37456658482551575,0.4500120282173157,0.41222643852233887,0.45934605598449707,0.42362791299819946,0.3402262330055237,0.3116736114025116
87,6499bf2bcc024d419bd23f4d2eb332ce,angular_matte,Geo-aware mem + Matte,matte,0.4138332853714625,0.45864763855934143,0.853480339050293,0.3356590270996094,0.3281164765357971,0.3234344720840454,0.29977789521217346,0.2832491099834442,0.559133768081665,0.5014039278030396,0.4218021631240845,0.28906986117362976,0.39109987020492554,0.37977251410484314,0.8640391826629639,0.3693958520889282,0.3654940724372864,0.3695341944694519,0.358528196811676,0.3482084572315216,0.5902826189994812,0.5458105802536011,0.4630621671676636,0.3293919563293457,0.45395174622535706,0.44607263803482056
87,6499bf2bcc024d419bd23f4d2eb332ce,dual_orig_mem,Dual (Normal+Point) + Orig mem,dual,0.5010833392540613,0.5495096271236738,0.853480339050293,0.43502843379974365,0.41043615341186523,0.37682044506073,0.4064996838569641,0.40336066484451294,0.5521814227104187,0.45543843507766724,0.57915198802948,0.4917917847633362,0.5271131992340088,0.5216975212097168,0.8640391826629639,0.49045926332473755,0.44786006212234497,0.42622023820877075,0.4435582458972931,0.43990617990493774,0.5961670875549316,0.5369855165481567,0.6417986154556274,0.5460568070411682,0.5825415253639221,0.578522801399231
87,6499bf2bcc024d419bd23f4d2eb332ce,dual_ang_mem,Dual (Normal+Point) + Geo-aware mem,dual,0.47540247937043506,0.5257495567202568,0.853480339050293,0.43502843379974365,0.41043615341186523,0.37682044506073,0.3624866306781769,0.3550853431224823,0.5506411790847778,0.4850499927997589,0.4643205404281616,0.4582364857196808,0.47153544425964355,0.4817087650299072,0.8640391826629639,0.49045926332473755,0.44786006212234497,0.42622023820877075,0.3983973264694214,0.4044666588306427,0.5966506600379944,0.5421527624130249,0.5272362232208252,0.5169357061386108,0.5415846705436707,0.5529919266700745
