Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice
Geo-aware mem + Point,53d9d21ff95f42428225f906cd9a0a5a,70,68.62324898441634,72.46640572945276,9.314333654383642,7.6960123072682585
Geo-aware mem + Point,f121301624174b179ca4d50158797b03,189,42.38963325818379,49.3231142560641,12.82129725907418,12.824343393012347
Geo-aware mem + Point,02e777bdc5114b148963ed3def6ad471,6,52.25102479259173,57.81014362970988,4.2080344004907255,4.2330441005162545
Geo-aware mem + Point,245af7dde0cd4add9f7e11db3bbbccba,28,36.06993754704793,40.18339440226555,10.791491653534289,10.460754424244277
Geo-aware mem + Point,cdc707fbe68c474497cb9dd676ede842,163,67.68827339013419,69.26533728837967,14.875642313632845,15.08201198071
Geo-aware mem + Matte,63695230beb44ae68650bdd4d914917f,86,57.83363580703735,67.28598227103552,15.163665134646656,14.67028259118616
Geo-aware mem + Matte,ed24b6e27921449f935509d9f3da043f,181,63.912687450647354,71.84298038482666,18.65687707567541,16.40330640932477
Geo-aware mem + Matte,3031b834ab514a0fb91e0fec151ed0ff,39,69.61044842998186,74.26340927680334,18.464138864042788,18.335230309204466
Geo-aware mem + Matte,d4f7c4b5f9bd4284899477cb1f5bb48f,168,38.015956431627274,45.24473001559575,15.8229866816857,14.695284552217899
Geo-aware mem + Matte,6499bf2bcc024d419bd23f4d2eb332ce,87,41.383328537146255,45.86476385593414,15.574234308039115,14.519513926114886
Geo-aware mem + Matte,f044310ff65243f9b90fa0904025c034,185,53.35238898793856,60.73951994379362,17.034062987099126,16.298195619493725
Geo-aware mem + Matte,31b3720044ca458d90461a4ba5a22abf,40,52.70736142992973,60.72641412417094,17.088085922175615,16.345076647738555
Geo-aware mem + Matte,002e462c8bfa4267a9c9f038c7966f3b,1,65.10158528884253,68.7783864637216,19.545307237945096,19.45170193711814
Geo-aware mem + Matte,554899583c654f3e84ba4b4263b4bb94,71,48.40005661050479,52.864255011081696,8.843736011869385,8.42859586553672
Geo-aware mem + Matte,b51e3cb5e548409f940eb38f8db551d2,150,33.631740386287376,41.49680783351262,17.590568741896302,16.648712066027926
Geo-aware mem + Matte,84c69258a64f421080b44ed49650da52,114,79.75493296980858,84.30140614509583,15.980354554474255,14.550086026602324
Geo-aware mem + Matte,439ee7ebf11d45739dbef21b91669c1b,56,49.79168499509494,56.36058673262596,15.85429292739638,14.933407490200315
Geo-aware mem + Matte,7b15e31faa7141329dad5f83089f678a,107,13.465967774391174,17.031114920973778,12.75749137549173,13.31431051316027
Geo-aware mem + Matte,f45ac2100d2342fa8ab39d38d0f874ba,191,84.52133213480315,86.80675253272057,19.428374005162414,19.179351619913458
Geo-aware mem + Matte,d1a5633cfa0740d59bce4d3ea051329d,166,36.55570584038894,40.99409406383832,16.635259803890406,15.766623673556765
Geo-aware mem + Matte,4017fc4184ef4c2782a0231113258a17,50,42.93863922357559,44.75101828575134,11.442806763809035,10.76488531680824
Geo-aware mem + Matte,ab9804f981184f8db6f1f814c2b8c169,143,75.96500317255655,82.2460929552714,12.688813546811353,11.205714558972666
Geo-aware mem + Matte,f98f9602167641529eb3f8044b61692f,197,73.33504557609558,77.66514668862024,10.601137695692477,9.504701989579736
Geo-aware mem + Matte,b8915325eadc4f86af543daaf10702de,154,75.52800178527832,80.30528773864111,7.535035713977706,7.197256819935198
Geo-aware mem + Matte,8eda5c8b64f64096b3995a08f6095644,129,49.69593062996864,56.189678609371185,13.538102067494542,11.768776381854021
Geo-aware mem + Matte,474fd643f4204ee59ff73fe9b1916239,59,19.563241427143417,23.380665108561516,8.035330329239983,8.045551505184967
Geo-aware mem + Matte,42e5ff17de214f0d8aabd509f090a46c,55,50.35371482372284,53.65119551618894,22.594752858817767,22.204870550306705
Geo-aware mem + Matte,2084a523a5df4567844524afef5912db,23,31.963618472218513,37.051257863640785,17.655039022755247,17.94470560282939
Geo-aware mem + Matte,053b8a4984e340ad94f3b563594ff09d,7,47.71949748198192,53.1665583451589,10.42662266725273,9.691816650472465
Geo-aware mem + Matte,062c791e78a643f7bd380c336f809389,8,48.22897339860599,56.87569156289101,11.796927926888037,10.383763912729819
