Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
358eb80d4d074dee8cd65b4b0fa187f7,41,matte,7,0.7405111193656921,0.8509122729301453,6528,4982,8,7
358eb80d4d074dee8cd65b4b0fa187f7,41,matte,9,0.018364928662776947,0.03606748208403587,2962,158624,8,3
358eb80d4d074dee8cd65b4b0fa187f7,41,matte,10,0.28649693727493286,0.4453907907009125,45673,158624,8,3
358eb80d4d074dee8cd65b4b0fa187f7,41,matte,12,0.015634456649422646,0.030787566676735878,2480,158624,8,3
358eb80d4d074dee8cd65b4b0fa187f7,41,matte,13,0.05446842685341835,0.1033097356557846,8640,158624,8,3
358eb80d4d074dee8cd65b4b0fa187f7,41,matte,14,0.1190551221370697,0.21277794241905212,18885,158624,8,3
36793e98c89f41c186617d4581598ec4,42,normal,1,0.8050109148025513,0.8919734358787537,12749,10449,5,3
36793e98c89f41c186617d4581598ec4,42,normal,2,0.15116648375988007,0.2626318335533142,9741,26576,5,1
36793e98c89f41c186617d4581598ec4,42,normal,3,0.13130535185337067,0.23213070631027222,2410,12280,5,2
36793e98c89f41c186617d4581598ec4,42,normal,4,0.02219354920089245,0.043423376977443695,1151,26576,5,1
36793e98c89f41c186617d4581598ec4,42,normal,5,0.20590001344680786,0.34148770570755005,5554,26576,5,1
36793e98c89f41c186617d4581598ec4,42,normal,6,0.20154544711112976,0.3354770243167877,5456,26576,5,1
36793e98c89f41c186617d4581598ec4,42,normal,7,0.011153112165629864,0.022060183808207512,441,26576,5,1
36793e98c89f41c186617d4581598ec4,42,normal,8,0.46982669830322266,0.6392953991889954,9605,4814,5,4
36793e98c89f41c186617d4581598ec4,42,normal,9,7.448789256159216e-05,0.0001489646965637803,276,26576,5,1
36793e98c89f41c186617d4581598ec4,42,point,1,0.7786504030227661,0.8755519390106201,12749,10578,3,2
36793e98c89f41c186617d4581598ec4,42,point,2,0.170252725481987,0.2909674346446991,9741,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,3,0.03373800218105316,0.06527379900217056,2410,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,4,0.019677022472023964,0.03859461843967438,1151,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,5,0.09748344868421555,0.17764905095100403,5554,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,6,0.09574318677186966,0.174754798412323,5456,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,7,0.007108256220817566,0.014116170816123486,441,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,8,0.16825547814369202,0.2880456745624542,9605,56940,3,1
36793e98c89f41c186617d4581598ec4,42,point,9,0.0013125427067279816,0.0026216444093734026,276,56940,3,1
36793e98c89f41c186617d4581598ec4,42,matte,1,0.8097978234291077,0.8949041962623596,12749,10525,6,3
36793e98c89f41c186617d4581598ec4,42,matte,2,0.5566724538803101,0.7152082324028015,9741,5435,6,5
36793e98c89f41c186617d4581598ec4,42,matte,3,0.15919767320156097,0.27466872334480286,2410,13136,6,2
36793e98c89f41c186617d4581598ec4,42,matte,4,0.004853236488997936,0.009659592062234879,1151,20382,6,1
36793e98c89f41c186617d4581598ec4,42,matte,5,0.2695056200027466,0.4245835840702057,5554,20382,6,1
36793e98c89f41c186617d4581598ec4,42,matte,6,0.8811461925506592,0.9368184208869934,5456,6098,6,4
36793e98c89f41c186617d4581598ec4,42,matte,7,0.026530612260103226,0.051689859479665756,441,6098,6,4
36793e98c89f41c186617d4581598ec4,42,matte,8,0.00033255736343562603,0.0006648935959674418,9605,5435,6,5
36793e98c89f41c186617d4581598ec4,42,matte,9,0.0,0.0,276,980527,6,0
395af3909e9d4152b713769ae9182ef0,43,normal,1,0.14612410962581635,0.25498828291893005,1436,9239,9,6
