Mesh_ID,Mesh_Index,Modality,Mean_IoU,Mean_Dice,Std_IoU,Std_Dice,Num_Instances,Num_Predicted_Masks,Mesh_Runtime
63536adbd96147a8869ee36d7f6cfd92,85,matte,0.49191315464971314,0.5366795605999263,0.4256442671063215,0.4338486799361212,12,9,129.17647910118103
63695230beb44ae68650bdd4d914917f,86,normal,0.08874068406876176,0.13225688952952624,0.16611503369052336,0.20328068798615595,20,5,127.96712636947632
63695230beb44ae68650bdd4d914917f,86,point,0.13181452562566848,0.18380464534275234,0.21746147732623086,0.2583088910757484,20,5,127.96712636947632
63695230beb44ae68650bdd4d914917f,86,matte,0.09132231243420393,0.13439176687970758,0.17390753374771467,0.208860849663641,20,5,127.96712636947632
6499bf2bcc024d419bd23f4d2eb332ce,87,normal,0.15426859370199963,0.17797047204138444,0.31329106512294824,0.3314635232014993,7,7,131.02029418945312
6499bf2bcc024d419bd23f4d2eb332ce,87,point,0.1494840214561139,0.19504293307129825,0.26064244383405505,0.2882991175894492,7,6,131.02029418945312
6499bf2bcc024d419bd23f4d2eb332ce,87,matte,0.23581987276806363,0.2617353183720427,0.37196291196762576,0.3999442247094261,7,8,131.02029418945312
649dd4c47d6d4dd099e518d6393e7c5b,88,normal,0.4085314997604915,0.5127209084374564,0.2849625676995235,0.3372070734634475,7,8,119.8641448020935
649dd4c47d6d4dd099e518d6393e7c5b,88,point,0.2296820986037866,0.3247306431949255,0.20841966189311337,0.2888889885526697,7,8,119.8641448020935
649dd4c47d6d4dd099e518d6393e7c5b,88,matte,0.4155633747577667,0.516271574156625,0.2977341675447257,0.342646222138648,7,10,119.8641448020935
6568e5d622254ccdba3503288faed773,89,normal,0.4959823489189148,0.49798306822776794,0.4959823489189148,0.49798306822776794,2,2,102.94492745399475
6568e5d622254ccdba3503288faed773,89,point,0.491901188128395,0.49642682884586975,0.4912177035876084,0.4950607934151776,2,2,102.94492745399475
6568e5d622254ccdba3503288faed773,89,matte,0.4869060483761132,0.4948828665073961,0.4848592313937843,0.4907975944224745,2,2,102.94492745399475
65c6ffa083c6496eb84a0aa3c48d63ad,90,normal,0.2872823619109113,0.4134529412840493,0.17435329480911738,0.24386916101418335,8,16,126.23643255233765
65c6ffa083c6496eb84a0aa3c48d63ad,90,point,0.12733734503854066,0.17571470001712441,0.21476693446925557,0.26609450959091735,8,3,126.23643255233765
65c6ffa083c6496eb84a0aa3c48d63ad,90,matte,0.25885291869053617,0.33894452755339444,0.2674782412427639,0.3414543161847643,8,11,126.23643255233765
66e6c396a23a446ebb0973de52181e94,91,normal,0.3152668949388455,0.36339667774293394,0.3909062016915765,0.39366247534968934,21,14,131.42909121513367
66e6c396a23a446ebb0973de52181e94,91,point,0.30264087659972055,0.3579819082764776,0.37735256888629665,0.3717752109542613,21,16,131.42909121513367
66e6c396a23a446ebb0973de52181e94,91,matte,0.33018039439394625,0.37576020696932183,0.40352916899765545,0.4009420010858738,21,15,131.42909121513367
670f26a742f748b6b7542e7730f9803a,92,normal,0.9261997118592262,0.9529832080006599,0.15840083415019354,0.10582998779824233,8,12,136.6821780204773
670f26a742f748b6b7542e7730f9803a,92,point,0.9575608149170876,0.977381706237793,0.05737806256841353,0.032026591535090056,8,12,136.6821780204773
670f26a742f748b6b7542e7730f9803a,92,matte,0.9164287708699703,0.9462323263287544,0.16839102484188198,0.11562820191814235,8,12,136.6821780204773
674e65a1f526461781e59ec49e7200bc,93,normal,0.28992789637829575,0.3822181932628155,0.2723234832028577,0.31965122785441025,7,5,126.55887985229492
674e65a1f526461781e59ec49e7200bc,93,point,0.1161924536739077,0.17964425310492516,0.15545940675271716,0.20583052461508106,7,3,126.55887985229492
674e65a1f526461781e59ec49e7200bc,93,matte,0.11757880635559559,0.1811708158680371,0.15794436545619703,0.2077905430670145,7,4,126.55887985229492
67e2e51a2c87480a999293f3c554d61d,94,normal,0.5455136876553297,0.6328117996454239,0.35342592386556404,0.32309984004778924,4,8,116.47466492652893
67e2e51a2c87480a999293f3c554d61d,94,point,0.9510778337717056,0.9741492420434952,0.052942662185379255,0.0286119682483817,4,8,116.47466492652893
