Model,Mesh ID,Mesh Index,Mean IoU,Mean Dice,Std IoU,Std Dice,iou_view_0,iou_view_1,iou_view_2,iou_view_3,iou_view_4,iou_view_5,iou_view_6,iou_view_7,iou_view_8,iou_view_9,iou_view_10,iou_view_11,dice_view_0,dice_view_1,dice_view_2,dice_view_3,dice_view_4,dice_view_5,dice_view_6,dice_view_7,dice_view_8,dice_view_9,dice_view_10,dice_view_11
Dual (Normal+Point) + Geo-aware mem (GT prompts),238bdb0c4e3e4432951c31c85a55a9c8,26,27.324906115730602,31.372300535440445,10.130405375970774,9.280536814544234,49.92958307266235,17.342793941497803,28.623515367507935,31.485968828201294,33.55036973953247,35.75221300125122,35.15540063381195,17.128634452819824,24.18799251317978,24.033203721046448,18.48333775997162,12.225860357284546,49.96846616268158,22.93914258480072,33.26601982116699,34.18205380439758,38.00709843635559,40.37052094936371,39.93006646633148,25.17971396446228,27.59990096092224,27.82767415046692,21.374741196632385,15.822207927703857
Dual (Normal+Point) + Geo-aware mem (GT prompts),f1150d2342a8470e912942c49e978f28,188,43.11956850190957,50.57403246561686,16.98651165033364,15.649973363347275,81.41238689422607,56.13777041435242,55.39458990097046,42.14860498905182,50.76737403869629,50.23890733718872,41.73597991466522,24.525029957294464,44.701725244522095,29.55065369606018,20.754019916057587,20.06777971982956,81.6142201423645,63.924431800842285,63.498616218566895,49.506986141204834,59.92181897163391,58.04363489151001,50.14299750328064,32.17328488826752,52.45974659919739,39.77394104003906,28.115549683570862,27.71316170692444
Dual (Normal+Point) + Geo-aware mem (GT prompts),2e5436e635dc4336984c76a5f92c7141,35,55.939413607120514,60.36485036214193,11.972369677442332,11.394074837039101,93.98927092552185,51.09087824821472,51.78021788597107,42.35260486602783,53.395551443099976,54.70549464225769,56.54379725456238,54.23264503479004,54.08206582069397,51.32305026054382,52.79146432876587,54.98592257499695,96.81812524795532,56.30483031272888,60.58155298233032,48.20842742919922,59.02535319328308,59.95713472366333,58.23339819908142,56.93645477294922,56.86829686164856,55.91658353805542,57.07494020462036,58.45310688018799
Dual (Normal+Point) + Geo-aware mem (GT prompts),45adf40fce0a4690878d1c23c95f8477,57,48.353057603041336,52.775889386733375,8.179935550334976,8.37208268712248,66.79173707962036,52.24922299385071,52.345359325408936,54.69769239425659,41.083770990371704,50.44707655906677,52.28349566459656,45.97287178039551,35.00524461269379,38.92485797405243,41.57618582248688,48.85917603969574,68.96656155586243,58.094626665115356,59.29163098335266,59.90235209465027,45.932114124298096,54.68266010284424,56.119418144226074,50.39362907409668,38.35907578468323,41.06343984603882,46.23104631900787,54.274117946624756
Dual (Normal+Point) + Geo-aware mem (GT prompts),4b57e73e82ab400aa307adac36ea0e5e,62,37.808776150147125,44.758687913417816,5.129203993612877,5.501679710586083,45.90575397014618,40.23841619491577,41.85973405838013,45.061248540878296,37.82125413417816,27.66004204750061,30.4759681224823,35.13249158859253,36.954256892204285,36.46570146083832,40.14330804347992,35.987138748168945,51.85372233390808,48.412126302719116,48.22393357753754,53.87520790100098,44.711172580718994,33.31315219402313,37.21050024032593,43.1464284658432,42.86295771598816,42.825111746788025,47.04406261444092,43.62587928771973
Dual (Normal+Point) + Geo-aware mem (GT prompts),53d9d21ff95f42428225f906cd9a0a5a,70,70.14209628105164,72.99878398577371,8.482004349153618,7.582212827855879,80.93484044075012,79.09121513366699,78.3521831035614,72.3569929599762,68.62205862998962,74.04956817626953,79.14847731590271,69.197016954422,54.097551107406616,66.80064797401428,58.84757041931152,60.20703315734863,81.40926361083984,80.55642247200012,80.2765429019928,76.30082964897156,72.91185259819031,77.53791809082031,80.50244450569153,71.89853191375732,58.612221479415894,69.82576251029968,61.3308310508728,64.8227870464325
Dual (Normal+Point) + Geo-aware mem (GT prompts),f121301624174b179ca4d50158797b03,189,38.04963504274686,45.60543869932492,14.279321687221547,14.240849046273416,82.24546313285828,44.35324966907501,29.079562425613403,25.52066743373871,30.829250812530518,35.31614542007446,40.41195213794708,31.008386611938477,36.59765422344208,28.605803847312927,34.85465943813324,37.77282536029816,89.14446830749512,51.98976397514343,36.23628318309784,31.880322098731995,40.10204076766968,41.469547152519226,48.100242018699646,37.88939416408539,43.77797842025757,35.675352811813354,43.77774000167847,47.2221314907074
Dual (Normal+Point) + Geo-aware mem (GT prompts),02e777bdc5114b148963ed3def6ad471,6,57.980456948280334,61.016325652599335,3.52812400477469,3.181679644846548,61.76651120185852,61.52483820915222,62.76410222053528,56.36194944381714,60.68762540817261,57.638001441955566,51.36019587516785,52.06955075263977,55.66866397857666,57.732319831848145,60.29279828071594,57.898926734924316,63.88462781906128,63.8181209564209,64.64600563049316,59.62013602256775,63.32746148109436,60.87643504142761,54.09560799598694,55.48821687698364,60.0993812084198,61.68796420097351,63.25774788856506,61.394202709198
Dual (Normal+Point) + Geo-aware mem (GT prompts),245af7dde0cd4add9f7e11db3bbbccba,28,46.639177575707436,49.385646606485054,11.037117141783519,11.128119907755012,65.90063571929932,57.11047649383545,56.7896842956543,49.67586696147919,43.79645884037018,53.349047899246216,45.03295719623566,19.679094851017,41.79345667362213,40.73213338851929,42.66027510166168,43.15004348754883,66.28071069717407,61.02986931800842,61.40073537826538,55.9276819229126,47.685179114341736,54.41897511482239,49.04696047306061,22.721777856349945,44.055721163749695,42.5568550825119,43.720561265945435,43.782731890678406
Dual (Normal+Point) + Geo-aware mem (GT prompts),cdc707fbe68c474497cb9dd676ede842,163,72.00430730978647,72.90039931734404,15.483741616869692,15.659696518730588,82.67076015472412,81.8437933921814,82.00105428695679,81.37197494506836,80.16186952590942,80.8625876903534,82.14067220687866,81.35761022567749,65.55607318878174,49.298033118247986,33.04191529750824,63.74534368515015,83.00043940544128,82.58063197135925,82.6607346534729,82.33951330184937,81.6793143749237,82.33295679092407,82.73190259933472,82.33298659324646,67.17216372489929,49.64572787284851,33.18682014942169,65.1416003704071
Dual (Normal+Point) + Geo-aware mem (AMG prompts),63695230beb44ae68650bdd4d914917f,86,10.000088376303513,14.618060489495596,1.7949921073991577,2.093508318859739,8.872251957654953,9.315646439790726,9.236057102680206,9.029879420995712,9.216645359992981,9.234952926635742,9.191878885030746,9.118499606847763,9.20904278755188,10.025455802679062,15.123863518238068,12.426886707544327,13.208091259002686,14.149110019207,14.039693772792816,12.679722905158997,14.189662039279938,13.950806856155396,13.250455260276794,13.366541266441345,14.006876945495605,15.02378135919571,20.661912858486176,16.89007133245468
Dual (Normal+Point) + Geo-aware mem (AMG prompts),ed24b6e27921449f935509d9f3da043f,181,33.50740075111389,41.79110278685887,6.4917630179225485,7.538869535485593,35.901251435279846,37.6022070646286,38.88203203678131,39.95642066001892,33.181849122047424,36.955446004867554,38.25882077217102,35.270532965660095,35.5130136013031,30.426543951034546,20.538683235645294,19.602008163928986,45.03754377365112,46.99758291244507,49.23659563064575,49.342432618141174,41.348764300346375,46.39579355716705,47.118955850601196,44.07867193222046,41.906675696372986,36.31490468978882,27.518829703330994,26.19648277759552
Dual (Normal+Point) + Geo-aware mem (AMG prompts),3031b834ab514a0fb91e0fec151ed0ff,39,47.653795033693314,55.70615530014038,11.289840811881682,11.74253194983475,62.69417405128479,60.68371534347534,58.780086040496826,31.041985750198364,46.81973159313202,56.38542175292969,57.5015664100647,49.36164319515228,36.532849073410034,43.16003620624542,28.785675764083862,40.098655223846436,69.00956630706787,67.34126806259155,66.53081178665161,38.58241140842438,55.0940215587616,65.39978384971619,66.40923023223877,59.13360118865967,45.978277921676636,55.910539627075195,32.68556892871857,46.39878273010254
Dual (Normal+Point) + Geo-aware mem (AMG prompts),d4f7c4b5f9bd4284899477cb1f5bb48f,168,47.040584683418274,55.623326698939,10.34179524180778,10.088675462590963,64.99956250190735,51.889026165008545,60.64994931221008,55.34394979476929,40.39934575557709,51.75983905792236,53.75158190727234,34.29100215435028,34.11377966403961,34.90934073925018,37.54696547985077,44.83267366886139,71.26302719116211,62.487196922302246,67.26751327514648,64.95155692100525,48.47366511821747,62.07289099693298,63.446539640426636,43.12334954738617,43.430471420288086,44.0864235162735,46.000537276268005,50.87674856185913
Dual (Normal+Point) + Geo-aware mem (AMG prompts),6499bf2bcc024d419bd23f4d2eb332ce,87,8.942408657943208,10.368244039515655,3.021622252751652,2.730500108321967,13.480556011199951,9.846576303243637,11.09209805727005,11.26658096909523,9.46025401353836,5.979407578706741,10.79145073890686,10.995256155729294,5.110754445195198,2.8440842404961586,6.155230849981308,10.286654531955719,15.550939738750458,11.050856858491898,11.85668259859085,11.938396096229553,10.769745707511902,8.089520782232285,11.616820096969604,11.988206952810287,7.255768775939941,4.634225368499756,8.286968618631363,11.380796879529953
Dual (Normal+Point) + Geo-aware mem (AMG prompts),f044310ff65243f9b90fa0904025c034,185,48.16846797863643,57.49143262704214,7.269894366952571,7.922226387529074,50.76007843017578,55.77656030654907,62.01015114784241,47.81383275985718,48.71394336223602,46.127885580062866,44.79966163635254,40.815648436546326,46.696603298187256,42.714983224868774,34.368109703063965,57.4241578578949,59.77829098701477,65.45440554618835,70.08610963821411,49.294644594192505,62.540411949157715,56.185126304626465,54.4239342212677,51.59481763839722,57.71467685699463,56.167083978652954,40.08399844169617,66.57369136810303
Dual (Normal+Point) + Geo-aware mem (AMG prompts),31b3720044ca458d90461a4ba5a22abf,40,22.583786522348724,29.20457050204277,2.810952876088082,2.9072519429833426,20.419158041477203,19.932711124420166,20.855167508125305,23.8077312707901,17.749255895614624,28.366142511367798,23.70651811361313,24.86882656812668,25.734516978263855,21.062463521957397,23.448310792446136,21.05463594198227,27.01277732849121,26.86592936515808,28.50402593612671,32.58441984653473,25.55282413959503,35.98316013813019,28.719931840896606,30.2419513463974,31.452780961990356,25.776121020317078,29.78147566318512,27.979448437690735
